280
3 5
156 157 1
157 156 1
157 158 1
158 157 1
158 159 1
159 158 1
159 174 1
160 161 0.5
160 173 0.5
160 174 1
161 160 0.5
161 162 1
161 173 0.5
162 161 1
162 163 1
163 162 1
163 164 1
164 163 1
164 165 1
165 164 1
165 166 1
166 165 1
166 167 1
167 166 1
167 170 1
168 100 0.5
168 101 0.5
168 169 1
169 168 1
169 171 1
170 167 1
170 171 1
171 169 1
171 170 1
172 105 1
172 173 1
173 160 0.5
173 161 0.5
173 172 1
174 159 1
174 160 1
175 176 1
175 179 0.5
175 180 0.5
176 175 1
176 177 1
177 150 1
177 176 1
178 149 1
178 179 1
179 175 0.5
179 178 1
179 180 0.5
180 175 0.5
180 179 0.5
180 181 1
181 180 1
181 182 1
182 181 1
182 183 1
183 182 1
183 184 1
184 183 1
184 185 1
185 184 1
185 186 1
186 185 1
186 187 1
187 186 1
187 188 1
188 187 1
188 189 1
189 188 1
189 190 1
190 189 1
190 191 1
191 190 1
191 192 1
192 191 1
192 193 1
193 192 1
193 194 1
194 193 1
194 195 1
195 194 1
195 196 1
196 195 1
196 197 1
197 196 1
197 200 1
198 144 1
198 199 1
199 143 1
199 198 1
200 197 1
200 201 1
201 200 1
201 202 1
202 201 1
202 203 1
203 202 1
203 204 1
204 203 1
204 205 1
205 204 1
205 206 0.5
205 207 0.5
206 205 0.5
206 207 1
206 209 0.5
207 205 0.5
207 206 1
207 208 0.5
208 207 0.5
208 209 0.5
208 251 1
209 206 0.5
209 208 0.5
209 210 1
210 209 1
210 211 1
211 210 1
211 212 1
212 211 1
212 213 1
213 212 1
213 214 1
214 213 1
214 215 1
215 214 1
215 216 1
216 215 1
216 217 1
217 216 1
217 218 1
218 217 1
218 219 1
219 218 1
219 220 1
220 219 1
220 221 1
221 220 1
221 222 1
222 221 1
222 223 1
223 222 1
223 224 1
224 223 1
224 225 1
225 224 1
225 226 1
226 225 1
226 227 1
227 226 1
227 228 1
228 227 1
228 229 1
229 228 1
229 250 1
230 231 1
230 245 1
231 230 1
231 232 1
232 231 1
232 233 1
233 232 1
233 234 1
234 233 1
234 235 1
235 234 1
235 236 1
236 235 1
236 237 1
237 236 1
237 238 1
238 237 1
238 239 1
239 238 1
239 240 1
240 239 1
240 242 1
241 1 1
241 242 1
242 240 1
242 241 1
243 244 1
243 246 1
244 243 1
244 245 1
245 230 1
245 244 1
246 243 1
246 247 1
247 246 1
247 248 1
248 247 1
248 249 1
249 248 1
249 250 1
250 229 1
250 249 1
251 208 1
251 252 1
252 251 1
252 253 1
253 252 1
253 254 1
254 253 1
254 255 1
255 254 1
255 256 1
256 255 1
256 257 1
257 256 1
257 258 1
258 257 1
258 259 1
259 258 1
259 260 1
260 259 1
260 261 1
261 260 1
261 262 1
262 261 1
262 263 1
263 262 1
263 264 1
264 263 1
264 265 1
265 264 1
265 266 1
266 265 1
266 267 1
267 266 1
267 268 1
268 267 1
268 269 1
269 133 1
269 268 1
270 15 1
270 271 1
271 270 1
271 272 1
272 271 1
272 273 1
273 272 1
273 274 1
274 273 1
274 275 1
275 274 1
275 276 1
276 3 0.5
276 275 1
276 277 0.5
277 3 0.5
277 276 0.5
277 278 1
278 2 1
278 277 1
279 0 1
279 2 1
